<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
509490.00,504950.00,509650.00,509200.00,180.00,0.04%,2024-01-07,1402/10/17
511530.00,508450.00,512580.00,509380.00,4560.00,0.90%,2024-01-06,1402/10/16
510480.00,510450.00,514630.00,513940.00,6440.00,1.27%,2024-01-04,1402/10/14
505470.00,505160.00,508200.00,507500.00,1990.00,0.39%,2024-01-03,1402/10/13
505000.00,504250.00,505700.00,505510.00,140.00,0.03%,2024-01-02,1402/10/12
505610.00,504150.00,506000.00,505650.00,250.00,0.05%,2024-01-01,1402/10/11
504560.00,504350.00,505450.00,505400.00,260.00,0.05%,2023-12-31,1402/10/10
503790.00,503760.00,506600.00,505660.00,4360.00,0.87%,2023-12-30,1402/10/09
500530.00,500500.00,502650.00,501300.00,1220.00,0.24%,2023-12-28,1402/10/07
500100.00,499760.00,502650.00,502520.00,2550.00,0.51%,2023-12-27,1402/10/06
500320.00,499950.00,502140.00,499970.00,130.00,0.03%,2023-12-26,1402/10/05
500100.00,500100.00,500100.00,500100.00,610.00,0.12%,2023-12-25,1402/10/04
501400.00,499450.00,501750.00,499490.00,2610.00,0.52%,2023-12-24,1402/10/03
501820.00,501350.00,503400.00,502100.00,2300.00,0.46%,2023-12-23,1402/10/02
497520.00,497500.00,501330.00,499800.00,60.00,0.01%,2023-12-21,1402/09/30
501730.00,499750.00,509990.00,499860.00,1840.00,0.37%,2023-12-19,1402/09/28
502460.00,501250.00,503200.00,501700.00,1800.00,0.36%,2023-12-18,1402/09/27
504060.00,503050.00,504500.00,503500.00,300.00,0.06%,2023-12-16,1402/09/25
503680.00,503450.00,504200.00,503800.00,50.00,0.01%,2023-12-14,1402/09/23
503510.00,502950.00,504150.00,503850.00,190.00,0.04%,2023-12-13,1402/09/22
505470.00,503950.00,505650.00,504040.00,1220.00,0.24%,2023-12-12,1402/09/21
504500.00,504150.00,505420.00,505260.00,780.00,0.15%,2023-12-11,1402/09/20
504640.00,504150.00,505200.00,504480.00,60.00,0.01%,2023-12-10,1402/09/19
503490.00,503350.00,505340.00,504420.00,210.00,0.04%,2023-12-09,1402/09/18
505180.00,503350.00,505850.00,504210.00,100.00,0.02%,2023-12-07,1402/09/16
504940.00,502860.00,504950.00,504310.00,820.00,0.16%,2023-12-06,1402/09/15
