<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
"509,490","504,950","509,650","509,200",180,0.04%,2024-01-07,1402/10/17
"511,530","508,450","512,580","509,380",4560,0.90%,2024-01-06,1402/10/16
"510,480","510,450","514,630","513,940",6440,1.27%,2024-01-04,1402/10/14
"505,470","505,160","508,200","507,500",1990,0.39%,2024-01-03,1402/10/13
"505,000","504,250","505,700","505,510",140,0.03%,2024-01-02,1402/10/12
"505,610","504,150","506,000","505,650",250,0.05%,2024-01-01,1402/10/11
"504,560","504,350","505,450","505,400",260,0.05%,2023-12-31,1402/10/10
"503,790","503,760","506,600","505,660",4360,0.87%,2023-12-30,1402/10/09
"500,530","500,500","502,650","501,300",1220,0.24%,2023-12-28,1402/10/07
"500,100","499,760","502,650","502,520",2550,0.51%,2023-12-27,1402/10/06
"500,320","499,950","502,140","499,970",130,0.03%,2023-12-26,1402/10/05
"500,100","500,100","500,100","500,100",610,0.12%,2023-12-25,1402/10/04
"501,400","499,450","501,750","499,490",2610,0.52%,2023-12-24,1402/10/03
"501,820","501,350","503,400","502,100",2300,0.46%,2023-12-23,1402/10/02
"497,520","497,500","501,330","499,800",60,0.01%,2023-12-21,1402/09/30
"501,730","499,750","509,990","499,860",1840,0.37%,2023-12-19,1402/09/28
"502,460","501,250","503,200","501,700",1800,0.36%,2023-12-18,1402/09/27
"504,060","503,050","504,500","503,500",300,0.06%,2023-12-16,1402/09/25
"503,680","503,450","504,200","503,800",50,0.01%,2023-12-14,1402/09/23
"503,510","502,950","504,150","503,850",190,0.04%,2023-12-13,1402/09/22
"505,470","503,950","505,650","504,040",1220,0.24%,2023-12-12,1402/09/21
"504,500","504,150","505,420","505,260",780,0.15%,2023-12-11,1402/09/20
"504,640","504,150","505,200","504,480",60,0.01%,2023-12-10,1402/09/19
"503,490","503,350","505,340","504,420",210,0.04%,2023-12-09,1402/09/18
"505,180","503,350","505,850","504,210",100,0.02%,2023-12-07,1402/09/16
"504,940","502,860","504,950","504,310",820,0.16%,2023-12-06,1402/09/15
"505,020","503,260","505,100","503,490",2030,0.40%,2023-12-05,1402/09/14
"505,040","504,150","505,600","505,520",510,0.10%,2023-12-04,1402/09/13
"504,520","504,050","506,100","505,010",320,0.06%,2023-12-03,1402/09/12
"503,320","503,050","504,800","504,690",650,0.13%,2023-12-02,1402/09/11
"505,820","505,150","506,900","505,340",150,0.03%,2023-11-30,1402/09/09
