<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kian.Gold.ETF,20240101,133133.00,133970.00,133110.00,133434.00,257110356846,1926877,477,D,133284.00,133722.00
Kian.Gold.ETF,20231231,133350.00,133799.00,133106.00,133284.00,277183786992,2079652,497,D,133024.00,133106.00
Kian.Gold.ETF,20231230,132499.00,133800.00,132499.00,133024.00,50851409725,382271,683,D,131976.00,133250.00
Kian.Gold.ETF,20231227,132300.00,132300.00,131307.00,131976.00,22256049630,168637,378,D,131691.00,132077.00
Kian.Gold.ETF,20231226,132000.00,132480.00,131522.00,131691.00,41417055119,314502,292,D,130967.00,131689.00
Kian.Gold.ETF,20231225,131501.00,131501.00,130500.00,130967.00,25610301232,195547,343,D,131467.00,131189.00
Kian.Gold.ETF,20231224,131888.00,131990.00,131007.00,131467.00,21866975843,166330,306,D,131655.00,131501.00
Kian.Gold.ETF,20231223,131500.00,131850.00,131202.00,131655.00,39240340311,298054,569,D,130729.00,131500.00
Kian.Gold.ETF,20231220,130560.00,130998.00,130510.00,130729.00,24607957434,188236,344,D,130607.00,130886.00
Kian.Gold.ETF,20231219,130999.00,130999.00,130560.00,130607.00,39395904179,301636,400,D,130912.00,130592.00
Kian.Gold.ETF,20231218,131289.00,131289.00,130892.00,130912.00,31722579725,242319,403,D,131082.00,130933.00
Kian.Gold.ETF,20231216,131490.00,131490.00,130700.00,131082.00,24069343170,183621,372,D,130668.00,131000.00
Kian.Gold.ETF,20231213,130511.00,130900.00,130402.00,130668.00,16475260934,126085,293,D,130901.00,130749.00
Kian.Gold.ETF,20231212,131149.00,131149.00,130533.00,130901.00,17457795977,133366,325,D,130820.00,130792.00
Kian.Gold.ETF,20231211,131276.00,131276.00,130500.00,130820.00,15788221787,120687,295,D,131278.00,130840.00
Kian.Gold.ETF,20231210,131450.00,131830.00,130800.00,131278.00,21212477798,161585,276,D,130914.00,131830.00
Kian.Gold.ETF,20231209,131000.00,131560.00,130500.00,130914.00,46706367257,356772,525,D,131576.00,131370.00
Kian.Gold.ETF,20231206,131700.00,132290.00,131500.00,131576.00,26408194986,200707,380,D,132019.00,131552.00
Kian.Gold.ETF,20231205,132999.00,132999.00,131600.00,132019.00,109815913469,831816,778,D,133634.00,132000.00
Kian.Gold.ETF,20231204,133399.00,133891.00,133210.00,133634.00,51017016560,381766,533,D,132810.00,133779.00
