<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus.Gold.Com.ETF,20231205,194000.00,194500.00,193822.00,194163.00,529452247238,2726848,3596,D,195934.00,194250.00
Lotus.Gold.Com.ETF,20231204,195800.00,196460.00,195501.00,195934.00,712800155871,3637955,4572,D,195358.00,195692.00
Lotus.Gold.Com.ETF,20231203,196500.00,196500.00,194960.00,195358.00,759887269709,3889726,3822,D,194684.00,195488.00
Lotus.Gold.Com.ETF,20231202,193850.00,195100.00,193848.00,194684.00,649744741118,3337436,4227,D,191717.00,194950.00
Lotus.Gold.Com.ETF,20231129,191604.00,192100.00,191140.00,191717.00,374097573296,1951303,2987,D,191083.00,191553.00
Lotus.Gold.Com.ETF,20231128,191615.00,191690.00,190800.00,191083.00,361272085649,1890655,3169,D,191408.00,190990.00
Lotus.Gold.Com.ETF,20231127,191000.00,191822.00,190900.00,191408.00,180869878628,944944,2007,D,191002.00,191700.00
Lotus.Gold.Com.ETF,20231126,191500.00,191500.00,190303.00,191002.00,320066930059,1675724,2625,D,191047.00,190990.00
Lotus.Gold.Com.ETF,20231125,190650.00,191777.00,190410.00,191047.00,495510092555,2593655,3053,D,190140.00,191737.00
Lotus.Gold.Com.ETF,20231122,190449.00,190449.00,189520.00,190140.00,279875693124,1471945,2270,D,189787.00,190370.00
Lotus.Gold.Com.ETF,20231121,190000.00,190490.00,189524.00,189787.00,297752490406,1568875,2521,D,188446.00,189528.00
Lotus.Gold.Com.ETF,20231120,188810.00,189499.00,188210.00,188446.00,391135793857,2075580,4500,D,190063.00,189395.00
Lotus.Gold.Com.ETF,20231119,190865.00,190865.00,189002.00,190063.00,440993894664,2320253,4246,D,190933.00,190000.00
Lotus.Gold.Com.ETF,20231118,191500.00,191500.00,190706.00,190933.00,403920822321,2115508,3106,D,191667.00,190865.00
Lotus.Gold.Com.ETF,20231115,191501.00,191980.00,191334.00,191667.00,373949517029,1951035,2458,D,190665.00,191666.00
Lotus.Gold.Com.ETF,20231114,191489.00,191489.00,190200.00,190665.00,316099677603,1657878,2732,D,191572.00,190925.00
Lotus.Gold.Com.ETF,20231113,191900.00,191982.00,191001.00,191572.00,226186022068,1180685,2091,D,191196.00,191805.00
Lotus.Gold.Com.ETF,20231112,191699.00,191750.00,190770.00,191196.00,255218487626,1334851,3023,D,191325.00,191739.00
Lotus.Gold.Com.ETF,20231111,190980.00,191798.00,190650.00,191325.00,546534590569,2856575,3098,D,190979.00,191747.00
Lotus.Gold.Com.ETF,20231108,190000.00,191929.00,189821.00,190979.00,590984504213,3094496,2805,D,190409.00,191699.00
Lotus.Gold.Com.ETF,20231107,191000.00,191190.00,189067.00,190409.00,601754592828,3160327,4334,D,191890.00,190532.00
Lotus.Gold.Com.ETF,20231106,192355.00,192355.00,191640.00,191890.00,416607157982,2171075,3950,D,192961.00,191690.00
Lotus.Gold.Com.ETF,20231105,192560.00,193500.00,192560.00,192961.00,554697013187,2874655,3133,D,192096.00,192709.00
Lotus.Gold.Com.ETF,20231104,191651.00,192890.00,191557.00,192096.00,1578311990489,8216269,7009,D,195123.00,192560.00
Lotus.Gold.Com.ETF,20231101,194500.00,196500.00,193753.00,195123.00,856096688654,4387470,4406,D,194572.00,196497.00
Lotus.Gold.Com.ETF,20231031,195127.00,195799.00,193758.00,194572.00,1004574479947,5163007,3774,D,193470.00,194799.00
Lotus.Gold.Com.ETF,20231030,192750.00,194177.00,192510.00,193470.00,660537458256,3414162,3478,D,194988.00,194176.00
Lotus.Gold.Com.ETF,20231029,196989.00,196989.00,193755.00,194988.00,1172732101684,6014370,6984,D,199702.00,194498.00
Lotus.Gold.Com.ETF,20231028,200000.00,201000.00,198600.00,199702.00,2842099461417,14231701,10349,D,192820.00,199400.00
Lotus.Gold.Com.ETF,20231025,192290.00,193314.00,192006.00,192820.00,1353199320546,7017929,4243,D,191735.00,192369.00
Lotus.Gold.Com.ETF,20231024,191700.00,191987.00,191112.00,191735.00,1073746455023,5600158,3085,D,191423.00,191661.00
Lotus.Gold.Com.ETF,20231023,191470.00,192000.00,191000.00,191423.00,558233864912,2916238,3744,D,191224.00,191399.00
Lotus.Gold.Com.ETF,20231022,190157.00,192388.00,189900.00,191224.00,758202791002,3964988,4306,D,190615.00,191500.00
Lotus.Gold.Com.ETF,20231021,190611.00,191300.00,189999.00,190615.00,603466598507,3165891,4799,D,193191.00,190503.00
Lotus.Gold.Com.ETF,20231018,195000.00,196000.00,191800.00,193191.00,1207482697835,6250195,5925,D,188907.00,192200.00
Lotus.Gold.Com.ETF,20231017,187100.00,190777.00,187100.00,188907.00,821355284021,4347935,3820,D,186846.00,190600.00
Lotus.Gold.Com.ETF,20231016,188000.00,188000.00,186111.00,186846.00,670182933071,3586814,4171,D,190162.00,187021.00
