<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Maskan.Invest.,20231205,27340.00,28050.00,26500.00,27810.00,117128140260,4211736,832,D,26720.00,28050.00
Maskan.Invest.,20231204,27340.00,27340.00,25000.00,26720.00,341048299020,12761441,2241,D,26040.00,27190.00
Maskan.Invest.,20231203,25790.00,26120.00,25050.00,26040.00,106339508850,4083504,743,D,24880.00,26120.00
Maskan.Invest.,20231202,24930.00,24930.00,24300.00,24880.00,163412736800,6566880,969,D,23750.00,24930.00
Maskan.Invest.,20231129,23200.00,23820.00,23200.00,23750.00,41112560310,1731211,237,D,22690.00,23820.00
Maskan.Invest.,20231128,22500.00,22730.00,22130.00,22690.00,101218721230,4461348,978,D,21650.00,22730.00
Maskan.Invest.,20231127,21890.00,21920.00,21160.00,21650.00,72560490070,3352001,633,D,20880.00,21920.00
Maskan.Invest.,20231126,20500.00,21690.00,20150.00,20880.00,89380855140,4280027,926,D,21210.00,21450.00
Maskan.Invest.,20231125,21050.00,21930.00,20800.00,21210.00,107769018090,5081293,884,D,21890.00,20830.00
Maskan.Invest.,20231122,22850.00,22850.00,21150.00,21890.00,168066796780,7676371,1366,D,21880.00,21330.00
Maskan.Invest.,20231121,21800.00,21920.00,21640.00,21880.00,100212689940,4579116,492,D,20880.00,21920.00
Maskan.Invest.,20231118,20790.00,21160.00,20250.00,20880.00,143556998900,6874297,994,D,20160.00,20500.00
Maskan.Invest.,20231115,20160.00,20160.00,20050.00,20160.00,101647815500,5042276,746,D,19200.00,20160.00
Maskan.Invest.,20231114,18610.00,20000.00,18510.00,19200.00,122889972450,6400023,723,D,19070.00,20000.00
Maskan.Invest.,20231113,19500.00,19880.00,18700.00,19070.00,93190007450,4885913,699,D,19280.00,18750.00
Maskan.Invest.,20231112,19120.00,19700.00,18850.00,19280.00,59666528960,3094309,655,D,19000.00,19510.00
Maskan.Invest.,20231111,19080.00,19080.00,18670.00,19000.00,94544981020,4976792,836,D,18180.00,19060.00
Maskan.Invest.,20231108,18400.00,19000.00,17570.00,18180.00,128872586960,7089158,867,D,18440.00,19000.00
Maskan.Invest.,20231107,18550.00,18550.00,17710.00,18440.00,253836262350,13764822,1207,D,17670.00,18290.00
Maskan.Invest.,20231106,17640.00,17730.00,16900.00,17670.00,31612178630,1788525,148,D,16890.00,17730.00
Maskan.Invest.,20231105,16500.00,16900.00,16500.00,16890.00,76228081190,4512370,565,D,16100.00,16900.00
Maskan.Invest.,20231104,15450.00,16110.00,15450.00,16100.00,73442109780,4562681,224,D,15350.00,16110.00
Maskan.Invest.,20231101,15000.00,15700.00,14830.00,15350.00,89099924060,5802708,413,D,15390.00,15600.00
Maskan.Invest.,20231031,15700.00,15970.00,15140.00,15390.00,41654672540,2706948,479,D,15930.00,15150.00
Maskan.Invest.,20231030,15850.00,16440.00,15010.00,15930.00,73747434910,4628518,618,D,15680.00,15770.00
Maskan.Invest.,20231029,14950.00,15880.00,14950.00,15680.00,46883808170,2990640,409,D,15150.00,15830.00
Maskan.Invest.,20231028,15070.00,15990.00,15070.00,15150.00,176211018660,11628881,800,D,15860.00,15070.00
Maskan.Invest.,20231025,14960.00,16030.00,14960.00,15860.00,123583532110,7794468,814,D,15270.00,15680.00
Maskan.Invest.,20231024,15310.00,15610.00,14960.00,15270.00,65158575710,4267545,634,D,15440.00,15250.00
Maskan.Invest.,20231023,15300.00,15910.00,15050.00,15440.00,164660215110,10661798,896,D,15440.00,15300.00
Maskan.Invest.,20231022,15690.00,15690.00,15060.00,15440.00,188162807530,12183302,1410,D,14950.00,15170.00
Maskan.Invest.,20231021,14950.00,14950.00,14900.00,14950.00,126423666700,8456466,255,D,14240.00,14950.00
Maskan.Invest.,20231018,13850.00,14350.00,13000.00,14240.00,198408206140,13928869,1014,D,13670.00,14350.00
Maskan.Invest.,20231017,13750.00,13750.00,13300.00,13670.00,110992927810,8118446,880,D,13100.00,13750.00
Maskan.Invest.,20231016,12790.00,13120.00,12700.00,13100.00,26806754590,2045944,137,D,12500.00,13120.00
Maskan.Invest.,20231015,11580.00,12540.00,11580.00,12500.00,128076612980,10247734,621,D,11950.00,12540.00
Maskan.Invest.,20231014,12000.00,12450.00,11410.00,11950.00,48357133520,4047373,482,D,11860.00,11990.00
Maskan.Invest.,20231011,11480.00,12040.00,11480.00,11860.00,40871817640,3446925,312,D,11470.00,11610.00
Maskan.Invest.,20231010,11340.00,11510.00,11100.00,11470.00,76865422730,6703472,530,D,10970.00,11510.00
Maskan.Invest.,20231009,10770.00,11370.00,10770.00,10970.00,86522375220,7885092,617,D,11330.00,11240.00
Maskan.Invest.,20231008,11410.00,11610.00,11290.00,11330.00,55020708060,4856514,259,D,11880.00,11290.00
Maskan.Invest.,20231007,12100.00,12360.00,11590.00,11880.00,54154046850,4556631,468,D,12200.00,11620.00
Maskan.Invest.,20231004,12120.00,12330.00,11770.00,12200.00,75818869880,6214365,519,D,11750.00,12060.00
Maskan.Invest.,20231002,11290.00,11800.00,11290.00,11750.00,69356130050,5904333,478,D,11240.00,11800.00
Maskan.Invest.,20231001,10820.00,11570.00,10820.00,11240.00,46660369970,4151764,483,D,11020.00,11450.00
Maskan.Invest.,20230930,10990.00,11480.00,10650.00,11020.00,46911912830,4255401,406,D,10990.00,10930.00
Maskan.Invest.,20230927,10340.00,11040.00,10340.00,10990.00,134662869450,12257811,864,D,10520.00,10890.00
Maskan.Invest.,20230926,10200.00,10790.00,10200.00,10520.00,40915143310,3888861,484,D,10450.00,10390.00
Maskan.Invest.,20230925,10390.00,10470.00,10150.00,10450.00,88574265560,8474287,538,D,9980.00,10400.00
Maskan.Invest.,20230923,9590.00,10090.00,9480.00,9980.00,48521952360,4863098,304,D,9610.00,10090.00
Maskan.Invest.,20230920,9410.00,9820.00,9350.00,9610.00,28748924060,2993043,292,D,9640.00,9500.00
Maskan.Invest.,20230919,9620.00,9870.00,9320.00,9640.00,29689589820,3079055,351,D,9810.00,9500.00
