<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tamin.Petro.,20240101,18800.00,18800.00,18610.00,18710.00,71262154220,3816612,596,D,18760.00,18770.00
Tamin.Petro.,20231231,19050.00,19180.00,18660.00,18760.00,55476464890,2956930,468,D,18760.00,18660.00
Tamin.Petro.,20231230,18700.00,19120.00,18600.00,18760.00,191082164570,10188319,735,D,18680.00,19000.00
Tamin.Petro.,20231227,18440.00,18860.00,18360.00,18680.00,198541225500,10626742,1630,D,18710.00,18700.00
Tamin.Petro.,20231226,18520.00,18840.00,18500.00,18710.00,241144161690,12889916,1311,D,18840.00,18560.00
Tamin.Petro.,20231225,18920.00,19100.00,18600.00,18840.00,223823979280,11882285,1116,D,19010.00,18620.00
Tamin.Petro.,20231224,19360.00,19360.00,18910.00,19010.00,227575461610,11969900,910,D,19350.00,19150.00
Tamin.Petro.,20231223,19120.00,19500.00,19100.00,19350.00,197549696340,10209332,1092,D,19410.00,19360.00
Tamin.Petro.,20231220,19400.00,19700.00,19200.00,19410.00,320082510220,16494090,1422,D,19570.00,19200.00
Tamin.Petro.,20231219,19660.00,19800.00,19370.00,19570.00,209818519350,10723265,1163,D,19570.00,19450.00
Tamin.Petro.,20231218,18700.00,19660.00,18460.00,19570.00,311562613420,15920274,2162,D,18730.00,19660.00
Tamin.Petro.,20231216,18380.00,18860.00,18380.00,18730.00,80536721350,4292396,583,D,18670.00,18720.00
Tamin.Petro.,20231213,18460.00,18780.00,18450.00,18670.00,107023300930,5735151,566,D,18740.00,18760.00
Tamin.Petro.,20231212,18490.00,18910.00,18490.00,18740.00,102380183940,5463069,599,D,18750.00,18720.00
Tamin.Petro.,20231211,18600.00,18900.00,18400.00,18750.00,73240712380,3897530,553,D,18680.00,18760.00
Tamin.Petro.,20231210,18600.00,18750.00,18400.00,18680.00,50024695870,2682928,501,D,18710.00,18600.00
Tamin.Petro.,20231209,18310.00,18900.00,18310.00,18710.00,122503903940,6547488,765,D,18640.00,18620.00
Tamin.Petro.,20231206,18380.00,18850.00,18180.00,18640.00,150949520980,8098515,969,D,18480.00,18730.00
Tamin.Petro.,20231205,18360.00,18900.00,18210.00,18480.00,183991512410,9955471,1215,D,18360.00,18380.00
Tamin.Petro.,20231204,18050.00,18380.00,18020.00,18360.00,608874729790,33154298,1667,D,17510.00,18380.00
Tamin.Petro.,20231203,17440.00,17940.00,17150.00,17510.00,134641762410,7689003,751,D,17200.00,17900.00
Tamin.Petro.,20231202,17280.00,17750.00,17250.00,17200.00,47683279730,2726213,531,D,17020.00,17440.00
Tamin.Petro.,20231129,17170.00,17250.00,16930.00,17020.00,64104463280,3748816,650,D,16930.00,17150.00
Tamin.Petro.,20231128,16770.00,17150.00,16640.00,16930.00,106351200600,6276449,905,D,16830.00,17000.00
Tamin.Petro.,20231127,16980.00,16980.00,16770.00,16830.00,58492300180,3472516,507,D,16820.00,16820.00
Tamin.Petro.,20231126,16960.00,17030.00,16730.00,16820.00,89353317190,5311685,795,D,16800.00,16790.00
Tamin.Petro.,20231125,16660.00,17070.00,16660.00,16800.00,84550291510,5038073,635,D,16860.00,16820.00
Tamin.Petro.,20231122,16800.00,17170.00,16680.00,16860.00,132483488670,7856197,1326,D,16900.00,16790.00
Tamin.Petro.,20231121,16900.00,17050.00,16800.00,16900.00,93181856900,5512617,923,D,16870.00,16860.00
Tamin.Petro.,20231120,16740.00,16900.00,16730.00,16870.00,40282234080,2395251,492,D,16900.00,16730.00
Tamin.Petro.,20231119,16740.00,17000.00,16680.00,16900.00,77048081100,4572738,666,D,17000.00,16880.00
Tamin.Petro.,20231118,16870.00,17190.00,16800.00,17000.00,44026639600,2605116,626,D,17060.00,16820.00
Tamin.Petro.,20231115,16850.00,17170.00,16850.00,17060.00,27626566440,1622832,258,D,17070.00,17050.00
Tamin.Petro.,20231114,16870.00,17190.00,16870.00,17070.00,59653393620,3498716,393,D,17090.00,16990.00
Tamin.Petro.,20231113,16950.00,17250.00,16950.00,17090.00,58044333630,3394385,647,D,17090.00,17100.00
Tamin.Petro.,20231112,16890.00,17180.00,16890.00,17090.00,43664363430,2554891,409,D,17090.00,17050.00
Tamin.Petro.,20231111,17350.00,17350.00,16980.00,17090.00,60846717550,3565507,429,D,17110.00,17100.00
Tamin.Petro.,20231108,17440.00,17440.00,16920.00,17110.00,84299493580,4923914,699,D,17090.00,17350.00
Tamin.Petro.,20231107,16830.00,17450.00,16830.00,17090.00,52395120370,3026562,448,D,16930.00,17410.00
Tamin.Petro.,20231106,16790.00,17160.00,16770.00,16930.00,108407030240,6384342,708,D,16610.00,17010.00
Tamin.Petro.,20231105,16500.00,16960.00,16500.00,16610.00,40642608150,2415493,522,D,16500.00,16880.00
Tamin.Petro.,20231104,16450.00,16800.00,16410.00,16500.00,88646165450,5360490,804,D,16390.00,16700.00
Tamin.Petro.,20231101,16420.00,16740.00,16220.00,16390.00,94787573450,5783588,583,D,16420.00,16430.00
Tamin.Petro.,20231031,16500.00,16760.00,16250.00,16420.00,98726890700,6017691,869,D,16490.00,16530.00
Tamin.Petro.,20231030,16890.00,16890.00,16360.00,16490.00,60822246930,3682532,551,D,16460.00,16470.00
Tamin.Petro.,20231029,16650.00,16650.00,16370.00,16460.00,76416537540,4641673,615,D,16460.00,16640.00
Tamin.Petro.,20231028,16950.00,16950.00,16220.00,16460.00,173290408320,10525265,1282,D,16970.00,16250.00
Tamin.Petro.,20231025,16960.00,17010.00,16870.00,16970.00,53465972550,3151806,390,D,16970.00,17000.00
Tamin.Petro.,20231024,17170.00,17170.00,16780.00,16970.00,67104324860,3976423,567,D,17090.00,16790.00
