<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zarafshan.ETF,20240101,126716.00,127443.00,126442.00,127017.00,22874849993,180093,410,D,126779.00,127145.00
Zarafshan.ETF,20231231,127150.00,127400.00,126700.00,126779.00,19086530274,150550,389,D,126500.00,126716.00
Zarafshan.ETF,20231230,126550.00,126669.00,126000.00,126500.00,34077150764,269384,508,D,125391.00,126611.00
Zarafshan.ETF,20231227,126111.00,126111.00,125101.00,125391.00,43221247106,344692,452,D,125278.00,125330.00
Zarafshan.ETF,20231226,125500.00,125770.00,125045.00,125278.00,12523192681,99963,287,D,124730.00,125294.00
Zarafshan.ETF,20231225,124830.00,125000.00,124500.00,124730.00,12979615098,104062,278,D,124885.00,124750.00
Zarafshan.ETF,20231224,125127.00,125127.00,124300.00,124885.00,13350366968,106901,325,D,124971.00,124953.00
Zarafshan.ETF,20231223,124610.00,125579.00,124610.00,124971.00,18005657813,144079,349,D,123944.00,125125.00
Zarafshan.ETF,20231220,124390.00,124390.00,123750.00,123944.00,26365324973,212719,504,D,124041.00,124100.00
Zarafshan.ETF,20231219,124030.00,124431.00,123780.00,124041.00,50875126676,410148,611,D,124357.00,123780.00
Zarafshan.ETF,20231218,124700.00,124710.00,124100.00,124357.00,34743475912,279386,730,D,124775.00,124100.00
Zarafshan.ETF,20231216,124610.00,125700.00,124610.00,124775.00,18824503759,150868,348,D,124325.00,124719.00
Zarafshan.ETF,20231213,124369.00,124687.00,123902.00,124325.00,11354826491,91332,237,D,124111.00,124429.00
Zarafshan.ETF,20231212,124760.00,125000.00,123620.00,124111.00,40381788018,325369,616,D,124707.00,124317.00
Zarafshan.ETF,20231211,125230.00,125230.00,124260.00,124707.00,11259054429,90284,268,D,125087.00,124710.00
Zarafshan.ETF,20231210,124500.00,125600.00,124500.00,125087.00,12196584741,97505,227,D,124723.00,125240.00
Zarafshan.ETF,20231209,126444.00,126444.00,124521.00,124723.00,19172398320,153720,444,D,125495.00,125200.00
Zarafshan.ETF,20231206,125500.00,125799.00,125105.00,125495.00,14585482482,116224,219,D,125741.00,125451.00
Zarafshan.ETF,20231205,126777.00,126777.00,125006.00,125741.00,14266488401,113459,310,D,126724.00,125780.00
Zarafshan.ETF,20231204,126400.00,126925.00,126256.00,126724.00,26028687066,205396,410,D,126256.00,126799.00
Zarafshan.ETF,20231203,126500.00,126500.00,126000.00,126256.00,38923323710,308288,421,D,125774.00,126400.00
Zarafshan.ETF,20231202,125001.00,126000.00,125000.00,125774.00,37764640226,300259,497,D,124203.00,125966.00
Zarafshan.ETF,20231129,124010.00,124500.00,124000.00,124203.00,17273326915,139073,323,D,123860.00,124190.00
Zarafshan.ETF,20231128,124770.00,124770.00,123580.00,123860.00,10968016236,88552,288,D,123918.00,123707.00
Zarafshan.ETF,20231127,124000.00,124100.00,123603.00,123918.00,18572783442,149880,359,D,123796.00,123965.00
Zarafshan.ETF,20231126,124000.00,124000.00,123500.00,123796.00,9693848390,78305,263,D,123921.00,123805.00
Zarafshan.ETF,20231125,123600.00,124470.00,123570.00,123921.00,17381817201,140265,394,D,123457.00,124265.00
Zarafshan.ETF,20231122,123419.00,123499.00,123001.00,123457.00,46252479085,374643,243,D,122914.00,123497.00
Zarafshan.ETF,20231121,123339.00,123339.00,122404.00,122914.00,136433103159,1109985,594,D,122503.00,122722.00
Zarafshan.ETF,20231120,122340.00,122900.00,122340.00,122503.00,28419665339,231992,453,D,123549.00,122500.00
Zarafshan.ETF,20231119,124000.00,124361.00,123300.00,123549.00,257075148526,2080748,565,D,123816.00,123599.00
Zarafshan.ETF,20231118,124124.00,124124.00,123500.00,123816.00,15200559937,122767,372,D,124179.00,123762.00
Zarafshan.ETF,20231115,124890.00,124890.00,124010.00,124179.00,8999248114,72470,284,D,123850.00,124120.00
Zarafshan.ETF,20231114,124898.00,124898.00,123720.00,123850.00,13603540141,109839,272,D,124464.00,123989.00
Zarafshan.ETF,20231113,124990.00,124990.00,124140.00,124464.00,9516792013,76462,197,D,124231.00,124487.00
Zarafshan.ETF,20231112,124700.00,124700.00,124000.00,124231.00,15363344371,123668,242,D,124293.00,124250.00
Zarafshan.ETF,20231111,124776.00,124776.00,123550.00,124293.00,15962991883,128430,280,D,124426.00,124458.00
Zarafshan.ETF,20231108,123520.00,124770.00,123520.00,124426.00,23073639918,185441,327,D,123630.00,124501.00
Zarafshan.ETF,20231107,124220.00,124220.00,123420.00,123630.00,19367056362,156654,593,D,124758.00,123611.00
Zarafshan.ETF,20231106,125395.00,125395.00,124700.00,124758.00,17195883372,137834,371,D,125390.00,124726.00
Zarafshan.ETF,20231105,125340.00,125700.00,125077.00,125390.00,12252002190,97711,290,D,125039.00,125424.00
Zarafshan.ETF,20231104,124800.00,125700.00,124800.00,125039.00,42540628449,340218,723,D,127184.00,125340.00
Zarafshan.ETF,20231101,126500.00,127998.00,126500.00,127184.00,23340845512,183520,390,D,126898.00,127975.00
Zarafshan.ETF,20231031,126100.00,127040.00,126100.00,126898.00,31548819034,248616,335,D,125753.00,126864.00
Zarafshan.ETF,20231030,126998.00,126998.00,125110.00,125753.00,42551977427,338378,682,D,127062.00,125999.00
Zarafshan.ETF,20231029,130100.00,130100.00,126500.00,127062.00,48378411813,380746,775,D,130384.00,126989.00
Zarafshan.ETF,20231028,128200.00,132990.00,128200.00,130384.00,113296881990,868945,1439,D,125224.00,130180.00
Zarafshan.ETF,20231025,125890.00,125890.00,124025.00,125224.00,32984856535,263407,452,D,124150.00,125066.00
