<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
424277,424277,424277,424277,781,0.18%,2023/12/09,1402/09/18
423496,423496,423496,423496,1073,0.25%,2023/12/07,1402/09/16
422423,422423,422423,422423,154,0.04%,2023/12/06,1402/09/15
422577,422577,422577,422577,902,0.21%,2023/12/05,1402/09/14
421675,421675,421675,421675,894,0.21%,2023/12/04,1402/09/13
420781,420781,420781,420781,952,0.23%,2023/12/03,1402/09/12
419829,419829,419829,419829,60,0.01%,2023/12/02,1402/09/11
419889,419889,419889,419889,293,0.07%,2023/11/30,1402/09/09
419596,419596,419596,419596,835,0.20%,2023/11/29,1402/09/08
418062,418062,418761,418761,699,0.17%,2023/11/27,1402/09/06
418235,418235,418235,418235,459,0.11%,2023/11/26,1402/09/05
417776,417776,417776,417776,548,0.13%,2023/11/25,1402/09/04
417228,417228,417228,417228,111,0.03%,2023/11/23,1402/09/02
417339,417339,417339,417339,559,0.13%,2023/11/22,1402/09/01
416780,416780,416780,416780,759,0.18%,2023/11/21,1402/08/30
416021,416021,416021,416021,111,0.03%,2023/11/20,1402/08/29
416132,416132,416132,416132,528,0.13%,2023/11/19,1402/08/28
415604,415604,415604,415604,441,0.11%,2023/11/18,1402/08/27
415163,415163,415163,415163,118,0.03%,2023/11/16,1402/08/25
415045,415045,415045,415045,352,0.08%,2023/11/15,1402/08/24
414693,414693,414693,414693,249,0.06%,2023/11/14,1402/08/23
414444,414444,414444,414444,205,0.05%,2023/11/13,1402/08/22
414239,414239,414239,414239,298,0.07%,2023/11/12,1402/08/21
413941,413941,413941,413941,6,-,2023/11/11,1402/08/20
413947,413947,413947,413947,112,0.03%,2023/11/09,1402/08/18
413835,413835,413835,413835,276,0.07%,2023/11/08,1402/08/17
413559,413559,413559,413559,269,0.07%,2023/11/07,1402/08/16
413290,413290,413290,413290,45,0.01%,2023/11/06,1402/08/15
413335,413335,413335,413335,241,0.06%,2023/11/05,1402/08/14
413094,413094,413094,413094,98,0.02%,2023/11/04,1402/08/13
412996,412996,412996,412996,54,0.01%,2023/11/02,1402/08/11
412942,412942,412942,412942,154,0.04%,2023/11/01,1402/08/10
412788,412788,412788,412788,137,0.03%,2023/10/31,1402/08/09
412651,412651,412651,412651,67,0.02%,2023/10/30,1402/08/08
412584,412584,412584,412584,55,0.01%,2023/10/29,1402/08/07
412529,412529,412529,412529,1,-,2023/10/28,1402/08/06
412530,412530,412530,412530,33,0.01%,2023/10/26,1402/08/04
412563,412563,412563,412563,103,0.02%,2023/10/25,1402/08/03
412460,412460,412460,412460,154,0.04%,2023/10/24,1402/08/02
412306,412306,412306,412306,91,0.02%,2023/10/21,1402/07/29
412215,412215,412215,412215,6,-,2023/10/20,1402/07/28
412221,412221,412221,412221,1,-,2023/10/18,1402/07/26
412220,412220,412220,412220,2,-,2023/10/17,1402/07/25
412222,412222,412222,412222,78,0.02%,2023/10/16,1402/07/24
412144,412144,412144,412144,39,0.01%,2023/10/15,1402/07/23
412105,412105,412105,412105,-,-,2023/10/14,1402/07/22
412069,412069,412069,412069,4,-,2023/10/13,1402/07/21
412073,412073,412073,412073,22,0.01%,2023/10/10,1402/07/18
412095,412095,412095,412095,1,-,2023/10/09,1402/07/17
412096,412096,412096,412096,3,-,2023/10/08,1402/07/16
412099,412099,412099,412099,1,-,2023/10/06,1402/07/14
412100,412100,412100,412100,51,0.01%,2023/10/04,1402/07/12
412151,412151,412151,412151,112,0.03%,2023/10/03,1402/07/11
412039,412039,412039,412039,75,0.02%,2023/10/01,1402/07/09
411964,411964,411964,411964,34,0.01%,2023/09/30,1402/07/08
411998,411998,411998,411998,52,0.01%,2023/09/29,1402/07/07
411946,411946,411946,411946,3,-,2023/09/27,1402/07/05
411943,411943,411943,411943,656,0.16%,2023/09/26,1402/07/04
412599,412599,412599,412599,11,-,2023/07/04,1402/04/13
412610,412610,412610,412610,11,-,2023/07/02,1402/04/11
412621,412621,412621,412621,2,-,2023/06/30,1402/04/09
412623,412623,412623,412623,54,0.01%,2023/06/27,1402/04/06
412677,412677,412677,412677,166,0.04%,2023/06/26,1402/04/05
412843,412843,412843,412843,39,0.01%,2023/06/25,1402/04/04
412882,412882,412882,412882,27,0.01%,2023/06/24,1402/04/03
412909,412909,412909,412909,30,0.01%,2023/06/23,1402/04/02
412939,412939,412939,412939,108,0.03%,2023/06/20,1402/03/30
413047,413047,413047,413047,208,0.05%,2023/06/19,1402/03/29
413255,413255,413255,413255,216,0.05%,2023/06/18,1402/03/28
413471,413471,413471,413471,22,0.01%,2023/06/17,1402/03/27
413493,413493,413493,413493,100,0.02%,2023/06/16,1402/03/26
413593,413593,413593,413593,550,0.13%,2023/06/14,1402/03/24
414143,414143,414143,414143,80,0.02%,2023/06/13,1402/03/23
414223,414223,414223,414223,924,0.22%,2023/06/12,1402/03/22
415147,415147,415147,415147,4745,1.14%,2023/06/11,1402/03/21
